,0
nse,0.056510394995220814
rmse,0.1499186396948357
R2,0.5424916902451561
biasabs,0.09045460557155315
nse_forest,0.003344296191550411
rmse_forest,0.14936616805730163
R2_forest,0.5062081144580162
biasabs_forest,0.08988162878505473
nse_shrub,0.032641039509554215
rmse_shrub,0.13488327456937338
R2_shrub,0.5570344569413267
biasabs_shrub,0.08530073644344816
nse_grass,0.028272415360029557
rmse_grass,0.14941132729888265
R2_grass,0.5235004084293583
biasabs_grass,0.08835626406129458
nse_crop,0.15447405835853623
rmse_crop,0.16601378885378518
R2_crop,0.5832237811519233
biasabs_crop,0.0982797929964151
rmse_0_5,0.09220509462499855
rmse_5_10,0.12626115211297417
rmse_10_15,0.15239693927638714
rmse_15_20,0.16680867265465416
