,0
nse,0.05506004151631627
rmse,0.14321400189750022
R2,0.6187032340146021
biasabs,0.09383692590482826
nse_forest,0.04431313660545255
rmse_forest,0.14036518657092373
R2_forest,0.5970754152442053
biasabs_forest,0.08962031808384628
nse_shrub,-0.04727314712940611
rmse_shrub,0.13899255321747003
R2_shrub,0.605105895822585
biasabs_shrub,0.09488648723986173
nse_grass,0.08025670407041074
rmse_grass,0.13933134753801457
R2_grass,0.6285168234964137
biasabs_grass,0.0901064281375167
nse_crop,0.1340911845590922
rmse_crop,0.15416692026359263
R2_crop,0.6441148014952043
biasabs_crop,0.10073447015808834
rmse_0_5,0.0891883548198218
rmse_5_10,0.12714691947976117
rmse_10_15,0.1452972646494173
rmse_15_20,0.1545097656121065
