,0
nse,0.023304887229113058
rmse,0.1465596758607025
R2,0.6040118187612356
biasabs,0.09814179960930311
nse_forest,0.04306650771712395
rmse_forest,0.14082489067289794
R2_forest,0.5836410250785904
biasabs_forest,0.09107584156626915
nse_shrub,-0.08615378322278211
rmse_shrub,0.14220159436674495
R2_shrub,0.595558720051295
biasabs_shrub,0.09968862468984593
nse_grass,0.048269155235044714
rmse_grass,0.1423010079787607
R2_grass,0.6131506391183689
biasabs_grass,0.0943593231882934
nse_crop,0.08009572154467026
rmse_crop,0.16091121042440654
R2_crop,0.6236968907966878
biasabs_crop,0.1074434089928039
rmse_0_5,0.0864999341065666
rmse_5_10,0.12910715816387847
rmse_10_15,0.15090632276820162
rmse_15_20,0.16033838684025054
