,0
nse,0.04508953369867341
rmse,0.1446094950000455
R2,0.617377436635561
biasabs,0.09483896945562233
nse_forest,0.003972574823104313
rmse_forest,0.14393571404158167
R2_forest,0.5903634886849108
biasabs_forest,0.09254168492766596
nse_shrub,-0.052867650776275976
rmse_shrub,0.1400936161716326
R2_shrub,0.6084187798702402
biasabs_shrub,0.09630509021468414
nse_grass,0.07695649185231646
rmse_grass,0.14009607500542984
R2_grass,0.6280082950218897
biasabs_grass,0.0903075077632898
nse_crop,0.1412704824534714
rmse_crop,0.15431257478153787
R2_crop,0.6427191829652033
biasabs_crop,0.10020159491684937
rmse_0_5,0.08766648116932121
rmse_5_10,0.12856517943159257
rmse_10_15,0.14573314887510888
rmse_15_20,0.15769796893869764
