,0
nse,0.0030625318658639156
rmse,0.15032209175308925
R2,0.6131931890531005
biasabs,0.10304065330674506
nse_forest,0.0157716097699514
rmse_forest,0.14556494706678763
R2_forest,0.5951277032276062
biasabs_forest,0.0988886205693003
nse_shrub,-0.07618144963206586
rmse_shrub,0.14452194550155772
R2_shrub,0.6117066326318283
biasabs_shrub,0.10065488351311401
nse_grass,0.01932014729626097
rmse_grass,0.14671988837011007
R2_grass,0.6202042520607611
biasabs_grass,0.1008931660228149
nse_crop,0.049017900051201435
rmse_crop,0.1644815860739016
R2_crop,0.6257341682922061
biasabs_crop,0.11172594312175098
rmse_0_5,0.08353788012265119
rmse_5_10,0.13126642229781996
rmse_10_15,0.15794163653088567
rmse_15_20,0.1652870479194643
