,0
nse,0.012826317491424488
rmse,0.14834716854824648
R2,0.6089298241981727
biasabs,0.09998905369909859
nse_forest,-0.010419253187196276
rmse_forest,0.1464885031157753
R2_forest,0.5852182815730689
biasabs_forest,0.09776606771648752
nse_shrub,-0.10844974582230282
rmse_shrub,0.14481546481575133
R2_shrub,0.6061716374857732
biasabs_shrub,0.10220233891636048
nse_grass,0.06768515720064028
rmse_grass,0.14187229091945383
R2_grass,0.6220627274101078
biasabs_grass,0.0945717899709024
nse_crop,0.0905255046631448
rmse_crop,0.1602124153420055
R2_crop,0.6222666503237407
biasabs_crop,0.10541601819264394
rmse_0_5,0.08615532596220961
rmse_5_10,0.1294425672548143
rmse_10_15,0.15316942719984322
rmse_15_20,0.16490687666853987
