,0
nse,0.013131798295280106
rmse,0.14723245318416048
R2,0.6104588867990286
biasabs,0.09703345101338562
nse_forest,-0.009808875266440253
rmse_forest,0.14522040765028368
R2_forest,0.5836509790822948
biasabs_forest,0.09248514530801098
nse_shrub,-0.06773601872987234
rmse_shrub,0.14097903345577467
R2_shrub,0.6009952447059331
biasabs_shrub,0.09606070461728597
nse_grass,0.03258203233482648
rmse_grass,0.1434119908163122
R2_grass,0.6188324477635626
biasabs_grass,0.09366771683164776
nse_crop,0.09072022311565742
rmse_crop,0.1593183808142714
R2_crop,0.638356875644324
biasabs_crop,0.10592023729659777
rmse_0_5,0.08802067975721774
rmse_5_10,0.12969631451362523
rmse_10_15,0.14973538345467938
rmse_15_20,0.16140886700305035
