,0
nse,0.009505119659262817
rmse,0.14754340793585205
R2,0.6122116357687821
biasabs,0.09813881249327709
nse_forest,0.003933510915353322
rmse_forest,0.14400830156459957
R2_forest,0.587545525169188
biasabs_forest,0.0927408920643435
nse_shrub,-0.0924851689364039
rmse_shrub,0.14248359417800402
R2_shrub,0.6028202706278948
biasabs_shrub,0.09877866710868387
nse_grass,0.030462241003594848
rmse_grass,0.14390780705535872
R2_grass,0.620391507433269
biasabs_grass,0.09500873990340143
nse_crop,0.08770257358079014
rmse_crop,0.1597739289454459
R2_crop,0.638089239844777
biasabs_crop,0.10602695089667957
rmse_0_5,0.0883112119628977
rmse_5_10,0.130637825347971
rmse_10_15,0.14987300441501092
rmse_15_20,0.1612648014656733
