,0
nse,0.01975504246412929
rmse,0.14735645968765587
R2,0.6148455854148425
biasabs,0.09752720603834827
nse_forest,-0.017699200750172395
rmse_forest,0.14658269316075814
R2_forest,0.5800164196002132
biasabs_forest,0.09450200872093521
nse_shrub,-0.06377463545587592
rmse_shrub,0.141678273647018
R2_shrub,0.6020641292760859
biasabs_shrub,0.09793002766529364
nse_grass,0.05718144385307444
rmse_grass,0.14198605806584066
R2_grass,0.632750078357135
biasabs_grass,0.0923063040138574
nse_crop,0.09550280147141188
rmse_crop,0.15917881387700672
R2_crop,0.6445517144259356
biasabs_crop,0.10537048375330679
rmse_0_5,0.09163181999623686
rmse_5_10,0.12960165381469246
rmse_10_15,0.1489258589261791
rmse_15_20,0.16074348154753443
